#time_s,time_m,time_e,pos,fwhm,slit1,slit2,slit3,slit4
2017-02-17T02:35:24,2017-02-17T02:39:54,2017-02-17T02:44:24,558.016,5.98098,525.38,559.39,581.39,614.06
2017-02-17T02:45:24,2017-02-17T02:47:24,2017-02-17T02:49:24,557.46,5.00463,525.38,559.39,581.39,614.06
2017-02-17T04:24:24,2017-02-17T04:27:24,2017-02-17T04:30:24,560.59,5.82,525.38,559.39,581.39,614.06
2017-02-17T04:31:24,2017-02-17T04:33:24,2017-02-17T04:35:24,559.582,7.16693,525.38,559.39,581.39,614.06
2017-02-17T06:18:24,2017-02-17T06:19:54,2017-02-17T06:21:24,558.658,6.40553,525.38,559.39,581.39,614.06
2017-02-17T07:11:24,2017-02-17T07:11:54,2017-02-17T07:12:24,565.041,4.2607,525.38,559.39,581.39,614.06
2017-02-17T07:13:24,2017-02-17T07:16:24,2017-02-17T07:19:24,564.322,5.29777,525.38,559.39,581.39,614.06
2017-02-17T08:06:24,2017-02-17T08:07:24,2017-02-17T08:08:24,558.236,5.78945,525.38,559.39,581.39,614.06
2017-02-17T08:57:24,2017-02-17T08:58:24,2017-02-17T08:59:24,564.618,7.13594,525.38,559.39,581.39,614.06
2017-02-17T09:00:24,2017-02-17T09:04:24,2017-02-17T09:08:24,565.207,5.2435,525.38,559.39,581.39,614.06
2017-02-17T09:09:24,2017-02-17T09:11:24,2017-02-17T09:13:24,564.445,4.33631,525.38,559.39,581.39,614.06
2017-02-17T09:52:24,2017-02-17T09:53:24,2017-02-17T09:54:24,558.506,4.72078,525.38,559.39,581.39,614.06
2017-02-17T10:43:24,2017-02-17T10:43:54,2017-02-17T10:44:24,565.244,2.32635,525.38,559.39,581.39,614.06
2017-02-17T10:45:24,2017-02-17T10:50:24,2017-02-17T10:55:24,565.482,4.69776,525.38,559.39,581.39,614.06
2017-02-17T10:56:24,2017-02-17T11:00:54,2017-02-17T11:05:24,564.017,6.08162,525.38,559.39,581.39,614.06
2017-02-17T11:39:24,2017-02-17T11:39:54,2017-02-17T11:40:24,558.921,7.09647,525.38,559.39,581.39,614.06
2017-02-17T12:30:24,2017-02-17T12:30:54,2017-02-17T12:31:24,563.1255,2.20327,525.38,559.39,581.39,614.06
2017-02-17T12:32:24,2017-02-17T12:36:54,2017-02-17T12:41:24,564.83,4.4465,525.38,559.39,581.39,614.06
2017-02-17T12:42:24,2017-02-17T12:46:54,2017-02-17T12:51:24,563.235,5.46218,525.38,559.39,581.39,614.06
2017-02-17T12:52:24,2017-02-17T12:54:54,2017-02-17T12:57:24,562.18,6.41705,525.38,559.39,581.39,614.06
2017-02-17T13:24:24,2017-02-17T13:25:24,2017-02-17T13:26:24,559.122,5.67612,525.38,559.39,581.39,614.06
2017-02-17T14:16:24,2017-02-17T14:16:54,2017-02-17T14:17:24,563.871,3.88388,525.38,559.39,581.39,614.06
2017-02-17T14:18:24,2017-02-17T14:22:54,2017-02-17T14:27:24,563.182,4.84921,525.38,559.39,581.39,614.06
2017-02-17T14:28:24,2017-02-17T14:32:54,2017-02-17T14:37:24,562.365,5.40078,525.38,559.39,581.39,614.06
2017-02-17T14:38:24,2017-02-17T14:43:24,2017-02-17T14:48:24,561.706,5.44865,525.38,559.39,581.39,614.06
2017-02-17T15:10:24,2017-02-17T15:11:24,2017-02-17T15:12:24,558.836,5.69997,525.38,559.39,581.39,614.06
